Title,Loser,Winner,Weight_Class,Method,Rounds,Time,Time Format,Refree,Details,Fighter(A),KnockDowns(A),LANDED SIG. STR(A),ATTEMPTED SIG. STR(A),SIG. STR%(A),TOTAL STR(A),LANDED_TD(A),ATTEMPTED_TD(A),TD% (A),SUB_ATT(A),REV(A),CTRL(A),HEAD(A),BODY(A),LEG(A),DISTANCE(A),CLINCH(A),GROUND(A),Fighter(B),KnockDowns(B),LANDED SIG. STR(B),ATTEMPTED SIG. STR(B),SIG. STR%(B),TOTAL STR(B),LANDED_TD(B),ATTEMPTED_TD(B),TD% (B),SUB_ATT(B),REV(B),CTRL(B),HEAD(B),BODY(B),LEG(B),DISTANCE(B),CLINCH(B),GROUND(B)
UFC 102: Couture vs Nogueira,Justin McCully ,Mike Russow ,Heavyweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Herb Dean,Marcos Rosales 26 - 30. Glenn Trowbridge 27 - 30. Trevor Trachsel 28 - 29.,Mike Russow ,0,21,36,58%,87 of 111,8,11,72%,2,1,11:24,17 of 32,4 of 4,0 of 0,2 of 6,0 of 0,19 of 30,Justin McCully ,0,11,58,18%,35 of 83,0,0,---,0,1,0:31,9 of 54,0 of 1,2 of 3,5 of 46,6 of 10,0 of 2
UFC 102: Couture vs Nogueira,Chris Tuchscherer ,Gabriel Gonzaga ,Heavyweight Bout, KO/TKO ,1,2:27,3 Rnd (5-5-5),Dave Hagen,Punches to Head On Ground,Gabriel Gonzaga ,1,22,27,81%,34 of 41,0,0,---,0,0,1:57,20 of 25,1 of 1,1 of 1,2 of 2,0 of 0,20 of 25,Chris Tuchscherer ,0,0,1,0%,0 of 1,0,0,---,0,0,0:00,0 of 1,0 of 0,0 of 0,0 of 0,0 of 0,0 of 1
UFC 102: Couture vs Nogueira,Ed Herman ,Aaron Simpson ,Middleweight Bout, KO/TKO ,2,0:17,3 Rnd (5-5-5),Yves Lavigne,to Knee Injury,Aaron Simpson ,1,25,50,50%,39 of 66,3,3,100%,0,0,3:06,21 of 45,2 of 3,2 of 2,8 of 20,3 of 3,14 of 27,Ed Herman ,0,7,32,21%,14 of 39,0,0,---,0,0,0:00,5 of 29,2 of 3,0 of 0,3 of 23,3 of 8,1 of 1
UFC 102: Couture vs Nogueira,Krzysztof Soszynski ,Brandon Vera ,Light Heavyweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Herb Dean,Nelson Hamilton 27 - 30. Marcos Rosales 27 - 30. Dave Hagen 27 - 30.,Brandon Vera ,0,62,134,46%,73 of 146,1,1,100%,0,0,3:06,16 of 76,10 of 19,36 of 39,35 of 97,26 of 36,1 of 1,Krzysztof Soszynski ,0,41,127,32%,55 of 143,1,5,20%,0,0,2:39,18 of 93,8 of 12,15 of 22,20 of 99,21 of 28,0 of 0
UFC 102: Couture vs Nogueira,Demian Maia ,Nate Marquardt ,Middleweight Bout, KO/TKO ,1,0:21,3 Rnd (5-5-5),Dave Hagen,Punch to Head At Distance,Nate Marquardt ,1,1,1,100%,1 of 1,0,0,---,0,0,0:01,1 of 1,0 of 0,0 of 0,1 of 1,0 of 0,0 of 0,Demian Maia ,0,0,2,0%,0 of 2,0,0,---,0,0,0:00,0 of 1,0 of 0,0 of 1,0 of 2,0 of 0,0 of 0
UFC 102: Couture vs Nogueira,Chris Leben ,Jake Rosholt ,Middleweight Bout, Submission ,3,1:30,3 Rnd (5-5-5),Yves Lavigne,Arm Triangle From Side Control Technical Submission,Jake Rosholt ,0,21,42,50%,38 of 60,3,4,75%,1,0,2:24,16 of 36,0 of 0,5 of 6,11 of 26,1 of 3,9 of 13,Chris Leben ,0,14,43,32%,77 of 112,1,1,100%,0,0,3:29,6 of 29,0 of 1,8 of 13,12 of 40,0 of 0,2 of 3
UFC 102: Couture vs Nogueira,Keith Jardine ,Thiago Silva ,Light Heavyweight Bout, KO/TKO ,1,1:35,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance,Thiago Silva ,1,5,8,62%,6 of 9,0,0,---,0,0,0:27,4 of 7,0 of 0,1 of 1,2 of 5,0 of 0,3 of 3,Keith Jardine ,0,3,17,17%,4 of 18,0,0,---,0,0,0:00,1 of 15,1 of 1,1 of 1,3 of 17,0 of 0,0 of 0
UFC 102: Couture vs Nogueira,Randy Couture ,Antonio Rodrigo Nogueira ,Heavyweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,Nelson Hamilton 27 - 30. Marcos Rosales 27 - 30. Glenn Trowbridge 28 - 29.,Antonio Rodrigo Nogueira ,2,27,96,28%,133 of 215,0,0,---,3,2,5:35,21 of 88,4 of 6,2 of 2,25 of 90,1 of 5,1 of 1,Randy Couture ,0,42,103,40%,65 of 126,0,1,0%,0,1,3:27,40 of 100,0 of 0,2 of 3,25 of 77,10 of 16,7 of 10
UFC 101: Declaration,George Roop ,George Sotiropoulos ,Lightweight Bout, Submission ,2,1:59,3 Rnd (5-5-5),Marc Goddard,Kimura From Side Control,George Sotiropoulos ,0,14,33,42%,30 of 53,3,5,60%,1,0,4:18,10 of 29,4 of 4,0 of 0,11 of 22,1 of 2,2 of 9,George Roop ,0,5,46,10%,22 of 64,0,0,---,0,1,0:24,2 of 42,2 of 3,1 of 1,5 of 38,0 of 4,0 of 4
UFC 101: Declaration,Dan Cramer ,Matthew Riddle ,Welterweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Keith Peterson,Eric Colon 27 - 29. Doug Crosby 26 - 30. Brad Duruttya 27 - 30.,Matthew Riddle ,0,47,67,70%,182 of 222,2,7,28%,2,1,12:06,29 of 48,14 of 15,4 of 4,2 of 11,9 of 13,36 of 43,Dan Cramer ,0,5,28,17%,10 of 33,0,2,0%,1,0,1:37,4 of 27,1 of 1,0 of 0,1 of 19,3 of 4,1 of 5
UFC 101: Declaration,Thales Leites ,Alessio Sakara ,Middleweight Bout, Decision - Split ,3,5:00,3 Rnd (5-5-5),Marc Goddard,Jeff Blatnick 28 - 29. Cardo Urso 30 - 27. Nelson Hamilton 28 - 29.,Alessio Sakara ,0,24,83,28%,25 of 84,0,0,---,0,1,0:33,18 of 75,6 of 8,0 of 0,22 of 78,0 of 0,2 of 5,Thales Leites ,0,22,102,21%,35 of 120,4,12,33%,0,0,2:41,15 of 95,1 of 1,6 of 6,14 of 81,0 of 2,8 of 19
UFC 101: Declaration,Tamdan McCrory ,John Howard ,Welterweight Bout, Decision - Split ,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,Doug Crosby 28 - 29. Brad Duruttya 29 - 28. Cardo Urso 28 - 29.,John Howard ,0,19,37,51%,58 of 78,5,7,71%,1,1,8:27,5 of 19,5 of 6,9 of 12,8 of 21,0 of 0,11 of 16,Tamdan McCrory ,0,11,46,23%,44 of 83,2,6,33%,1,2,3:02,8 of 42,2 of 3,1 of 1,5 of 33,3 of 3,3 of 10
UFC 101: Declaration,Josh Neer ,Kurt Pellegrino ,Lightweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Brad Duruttya 27 - 30. Cardo Urso 27 - 30. Eric Colon 27 - 30.,Kurt Pellegrino ,0,21,48,43%,105 of 148,3,5,60%,0,0,12:18,17 of 42,4 of 5,0 of 1,10 of 20,0 of 0,11 of 28,Josh Neer ,0,24,48,50%,65 of 91,0,0,---,1,1,0:33,20 of 42,2 of 3,2 of 3,8 of 31,6 of 6,10 of 11
UFC 101: Declaration,Kendall Grove ,Ricardo Almeida ,Middleweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,Jeff Blatnick 27 - 30. Doug Crosby 27 - 30. Nelson Hamilton 27 - 30.,Ricardo Almeida ,0,38,62,61%,70 of 102,6,14,42%,0,0,11:13,23 of 45,10 of 11,5 of 6,12 of 19,4 of 4,22 of 39,Kendall Grove ,0,25,62,40%,85 of 127,0,0,---,2,0,0:57,13 of 50,8 of 8,4 of 4,4 of 32,14 of 20,7 of 10
UFC 101: Declaration,Amir Sadollah ,Johny Hendricks ,Welterweight Bout, KO/TKO ,1,0:29,3 Rnd (5-5-5),Dan Miragliotta,Punches to Head On Ground,Johny Hendricks ,1,7,15,46%,7 of 15,0,0,---,0,0,0:02,7 of 15,0 of 0,0 of 0,2 of 5,5 of 5,0 of 5,Amir Sadollah ,0,2,9,22%,2 of 9,0,0,---,0,0,0:00,1 of 6,0 of 1,1 of 2,2 of 9,0 of 0,0 of 0
UFC 101: Declaration,Shane Nelson ,Aaron Riley ,Lightweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Kevin Mulhall,Nelson Hamilton 27 - 30. Eric Colon 27 - 30. Jeff Blatnick 27 - 30.,Aaron Riley ,0,50,122,40%,154 of 236,2,5,40%,0,0,7:48,28 of 96,18 of 22,4 of 4,16 of 74,24 of 35,10 of 13,Shane Nelson ,0,28,74,37%,80 of 128,0,5,0%,0,0,0:01,13 of 59,14 of 14,1 of 1,15 of 57,13 of 17,0 of 0
UFC 101: Declaration,Forrest Griffin ,Anderson Silva ,Light Heavyweight Bout, KO/TKO ,1,3:23,3 Rnd (5-5-5),Kevin Mulhall,Punch to Head At Distance,Anderson Silva ,3,13,25,52%,13 of 25,0,0,---,0,0,0:19,12 of 24,1 of 1,0 of 0,7 of 17,1 of 2,5 of 6,Forrest Griffin ,0,3,42,7%,4 of 43,0,0,---,0,0,0:00,1 of 35,0 of 2,2 of 5,3 of 40,0 of 2,0 of 0
UFC 101: Declaration,Kenny Florian ,BJ Penn ,UFC Lightweight Title Bout, Submission ,4,3:54,5 Rnd (5-5-5-5-5),Dan Miragliotta,Rear Naked Choke,BJ Penn ,0,57,94,60%,151 of 189,1,3,33%,1,0,4:11,77%,40 of 46,1 of 1,100%,1,0,Kenny Florian ,0,19,58,32%,90 of 131,0,15,0%,0,0,5:11,22%,15 of 23,0 of 5,0%,0,0
UFC 100,CB Dollaway ,Tom Lawlor ,Middleweight Bout, Submission ,1,0:55,3 Rnd (5-5-5),Yves Lavigne,Guillotine Choke After Drop to Guard Technical Submission,Tom Lawlor ,0,0,1,0%,0 of 1,0,0,---,1,0,0:00,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0,CB Dollaway ,0,1,5,20%,4 of 8,0,0,---,0,0,0:21,1 of 5,0 of 0,0 of 0,1 of 5,0 of 0,0 of 0
UFC 100,TJ Grant ,Dong Hyun Kim ,Welterweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,Doug Crosby 26 - 30. Tony Weeks 26 - 30. Cecil Peoples 26 - 30.,Dong Hyun Kim ,0,29,59,49%,82 of 117,4,5,80%,1,1,10:25,25 of 55,3 of 3,1 of 1,5 of 19,4 of 4,20 of 36,TJ Grant ,0,22,44,50%,33 of 57,1,5,20%,0,0,2:19,7 of 23,12 of 16,3 of 5,8 of 27,11 of 14,3 of 3
UFC 100,Jake O'Brien ,Jon Jones ,Light Heavyweight Bout, Submission ,2,2:43,3 Rnd (5-5-5),Yves Lavigne,Guillotine Choke Standing,Jon Jones ,0,25,87,28%,25 of 87,0,0,---,1,0,0:34,11 of 63,6 of 8,8 of 16,24 of 86,1 of 1,0 of 0,Jake O'Brien ,0,11,68,16%,11 of 68,0,4,0%,0,0,0:03,11 of 68,0 of 0,0 of 0,11 of 67,0 of 1,0 of 0
UFC 100,Mac Danzig ,Jim Miller ,Lightweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Steve Mazzagatti,Doug Crosby 27 - 30. Marcos Rosales 27 - 30. Glenn Trowbridge 27 - 30.,Jim Miller ,0,37,91,40%,98 of 157,6,7,85%,1,0,10:28,24 of 77,5 of 6,8 of 8,15 of 53,4 of 4,18 of 34,Mac Danzig ,0,20,57,35%,116 of 157,0,0,---,1,1,0:28,13 of 49,7 of 8,0 of 0,11 of 44,2 of 3,7 of 10
UFC 100,Stephan Bonnar ,Mark Coleman ,Light Heavyweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Herb Dean,Nelson Hamilton 28 - 29. Marcos Rosales 28 - 29. Tony Weeks 28 - 29.,Mark Coleman ,0,20,36,55%,59 of 82,3,9,33%,0,0,9:49,18 of 34,2 of 2,0 of 0,4 of 12,0 of 0,16 of 24,Stephan Bonnar ,0,26,60,43%,68 of 103,0,0,---,3,1,2:41,23 of 55,3 of 5,0 of 0,2 of 21,4 of 9,20 of 30
UFC 100,Alan Belcher ,Yoshihiro Akiyama ,Middleweight Bout, Decision - Split ,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,Adalaide Byrd 27 - 30. Doug Crosby 29 - 28. Patricia Morse-Jarman 28 - 29.,Yoshihiro Akiyama ,0,55,156,35%,70 of 173,3,4,75%,0,0,3:11,50 of 149,2 of 4,3 of 3,48 of 140,1 of 1,6 of 15,Alan Belcher ,1,76,156,48%,76 of 156,0,0,---,0,0,0:44,39 of 108,11 of 15,26 of 33,67 of 144,7 of 9,2 of 3
UFC 100,Michael Bisping ,Dan Henderson ,Middleweight Bout, KO/TKO ,2,3:20,3 Rnd (5-5-5),Mario Yamasaki,Punch to Head At Distance,Dan Henderson ,1,29,98,29%,29 of 98,0,0,---,0,0,0:27,17 of 83,7 of 10,5 of 5,20 of 84,8 of 13,1 of 1,Michael Bisping ,0,22,109,20%,22 of 109,0,1,0%,0,0,0:06,16 of 100,2 of 5,4 of 4,20 of 105,2 of 4,0 of 0
UFC 100,Thiago Alves ,Georges St-Pierre ,UFC Welterweight Title Bout, Decision - Unanimous ,5,5:00,5 Rnd (5-5-5-5-5),Steve Mazzagatti,Doug Crosby 44 - 50. Adalaide Byrd 45 - 50. Marcos Rosales 45 - 50.,Georges St-Pierre ,1,59,128,46%,148 of 225,10,12,83%,1,0,13:14,38%,32 of 46,3 of 3,100%,0,0,Thiago Alves ,0,30,162,18%,72 of 206,0,0,---,0,0,1:20,12%,6 of 33,0 of 0,---,0,0
UFC 100,Frank Mir ,Brock Lesnar ,UFC Heavyweight Title Bout, KO/TKO ,2,1:48,5 Rnd (5-5-5-5-5),Herb Dean,Punches to Head On Ground,Brock Lesnar ,0,47,51,92%,74 of 80,1,1,100%,0,0,5:46,41 of 45,4 of 4,2 of 2,3 of 5,0 of 0,44 of 46,Frank Mir ,0,4,12,33%,4 of 12,0,0,---,0,0,0:00,2 of 10,1 of 1,1 of 1,1 of 8,3 of 4,0 of 0
UFC 100,Paulo Thiago ,Jon Fitch ,Welterweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Yves Lavigne,Patricia Morse-Jarman 28 - 29. Cecil Peoples 28 - 29. Tony Weeks 27 - 30.,Jon Fitch ,0,15,34,44%,127 of 151,4,4,100%,1,0,12:21,9 of 24,2 of 2,4 of 8,4 of 22,3 of 3,8 of 9,Paulo Thiago ,0,5,11,45%,13 of 21,0,2,0%,5,0,1:23,3 of 9,1 of 1,1 of 1,2 of 7,2 of 2,1 of 2
The Ultimate Fighter: United States vs. United Kingdom Finale,Frank Lester ,Nick Osipczak ,Welterweight Bout, Submission ,1,3:40,3 Rnd (5-5-5),Kim Winslow,Rear Naked Choke,Nick Osipczak ,0,14,30,46%,17 of 33,1,1,100%,1,0,2:20,3 of 13,3 of 7,8 of 10,1 of 9,13 of 20,0 of 1,Frank Lester ,0,8,22,36%,10 of 24,0,2,0%,0,0,0:04,1 of 9,3 of 6,4 of 7,2 of 10,6 of 12,0 of 0
The Ultimate Fighter: United States vs. United Kingdom Finale,Mike Ciesnolevicz ,Tomasz Drwal ,Light Heavyweight Bout, KO/TKO ,1,4:48,3 Rnd (5-5-5),Herb Dean,Knee to Head In Clinch,Tomasz Drwal ,1,27,61,44%,37 of 72,4,5,80%,0,0,2:43,26 of 60,0 of 0,1 of 1,6 of 22,9 of 20,12 of 19,Mike Ciesnolevicz ,0,3,6,50%,3 of 6,0,1,0%,0,0,0:00,3 of 6,0 of 0,0 of 0,3 of 6,0 of 0,0 of 0
The Ultimate Fighter: United States vs. United Kingdom Finale,Edgar Garcia ,Brad Blackburn ,Welterweight Bout, Decision - Split ,3,5:00,3 Rnd (5-5-5),Kim Winslow,Adalaide Byrd 29 - 28. Patricia Morse-Jarman 28 - 29. Tony Weeks 28 - 29.,Brad Blackburn ,0,66,162,40%,66 of 162,0,1,0%,1,0,0:06,36 of 116,11 of 19,19 of 27,63 of 155,3 of 7,0 of 0,Edgar Garcia ,0,39,185,21%,39 of 185,1,3,33%,0,0,0:07,29 of 173,7 of 9,3 of 3,36 of 181,3 of 4,0 of 0
The Ultimate Fighter: United States vs. United Kingdom Finale,Gleison Tibau ,Melvin Guillard ,Lightweight Bout, Decision - Split ,3,5:00,3 Rnd (5-5-5),Josh Rosenthal,Glenn Trowbridge 28 - 29. Dave Hagen 28 - 29. Nelson Hamilton 29 - 28.,Melvin Guillard ,0,13,50,26%,19 of 56,1,4,25%,0,0,0:10,4 of 39,4 of 6,5 of 5,9 of 45,4 of 5,0 of 0,Gleison Tibau ,0,14,50,28%,72 of 115,6,14,42%,0,0,8:33,8 of 41,3 of 6,3 of 3,5 of 31,5 of 8,4 of 11
The Ultimate Fighter: United States vs. United Kingdom Finale,Nate Diaz ,Joe Stevenson ,Lightweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Steve Mazzagatti,Patricia Morse-Jarman 28 - 29. Abe Belardo 28 - 29. Marcos Rosales 28 - 29.,Joe Stevenson ,0,27,47,57%,49 of 71,8,14,57%,1,1,10:37,5 of 25,4 of 4,18 of 18,2 of 7,5 of 10,20 of 30,Nate Diaz ,0,6,29,20%,58 of 86,1,2,50%,4,2,2:16,4 of 26,0 of 1,2 of 2,4 of 21,1 of 5,1 of 3
The Ultimate Fighter: United States vs. United Kingdom Finale,Andre Winner ,Ross Pearson ,Ultimate Fighter 9 Lightweight Tournament Title Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Herb Dean,Nelson Hamilton 28 - 29. Tony Weeks 28 - 29. Glenn Trowbridge 28 - 29.,Ross Pearson ,0,74,129,57%,108 of 164,0,7,0%,0,0,3:47,37 of 84,27 of 35,10 of 10,23 of 57,51 of 72,0 of 0,Andre Winner ,0,46,86,53%,95 of 136,0,2,0%,0,0,6:01,21 of 54,15 of 21,10 of 11,6 of 39,40 of 47,0 of 0
The Ultimate Fighter: United States vs. United Kingdom Finale,Kevin Burns ,Chris Lytle ,Welterweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Herb Dean,Adalaide Byrd 28 - 29. Abe Belardo 28 - 29. Dave Hagen 28 - 29.,Chris Lytle ,0,101,247,40%,108 of 254,0,3,0%,0,0,0:14,65 of 199,36 of 48,0 of 0,93 of 235,8 of 12,0 of 0,Kevin Burns ,1,69,195,35%,75 of 202,1,1,100%,0,0,0:21,36 of 155,18 of 22,15 of 18,59 of 177,9 of 15,1 of 3
The Ultimate Fighter: United States vs. United Kingdom Finale,DaMarques Johnson ,James Wilks ,Ultimate Fighter 9 Welterweight Tournament Title Bout, Submission ,1,4:54,3 Rnd (5-5-5),Steve Mazzagatti,Rear Naked Choke,James Wilks ,0,17,29,58%,33 of 47,2,2,100%,8,0,2:16,11 of 22,2 of 3,4 of 4,6 of 12,9 of 14,2 of 3,DaMarques Johnson ,0,13,21,61%,26 of 35,0,0,---,0,0,1:16,11 of 18,1 of 2,1 of 1,3 of 9,4 of 5,6 of 7
The Ultimate Fighter: United States vs. United Kingdom Finale,Clay Guida ,Diego Sanchez ,Lightweight Bout, Decision - Split ,3,5:00,3 Rnd (5-5-5),Josh Rosenthal,Patricia Morse-Jarman 29 - 28. Glenn Trowbridge 27 - 29. Nelson Hamilton 28 - 29.,Diego Sanchez ,1,68,144,47%,80 of 156,1,2,50%,3,0,1:06,63 of 138,3 of 4,2 of 2,44 of 107,7 of 9,17 of 28,Clay Guida ,0,29,96,30%,57 of 130,2,7,28%,0,0,7:56,20 of 85,3 of 4,6 of 7,17 of 64,2 of 3,10 of 29
UFC 99: The Comeback,Denis Stojnic ,Stefan Struve ,Heavyweight Bout, Submission ,2,2:37,3 Rnd (5-5-5),Dan Miragliotta,Rear Naked Choke,Stefan Struve ,0,4,6,66%,37 of 43,0,1,0%,7,1,2:08,1 of 2,3 of 4,0 of 0,3 of 5,1 of 1,0 of 0,Denis Stojnic ,0,16,60,26%,36 of 85,0,0,---,0,0,4:48,14 of 58,2 of 2,0 of 0,0 of 5,0 of 1,16 of 54
UFC 99: The Comeback,Rolando Delgado ,Paul Kelly ,Lightweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,Howard Hughes 28 - 29. Chris Lee 28 - 29. Tony Weeks 28 - 29.,Paul Kelly ,0,32,74,43%,90 of 134,1,1,100%,2,2,7:54,27 of 68,2 of 2,3 of 4,2 of 22,0 of 1,30 of 51,Rolando Delgado ,0,14,28,50%,42 of 59,1,5,20%,3,1,4:03,6 of 16,6 of 9,2 of 3,10 of 24,2 of 2,2 of 2
UFC 99: The Comeback,Peter Sobotta ,Paul Taylor ,Welterweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Leon Roberts,Chris Lee 27 - 30. Chris Watts 27 - 30. Tony Weeks 27 - 30.,Paul Taylor ,0,46,102,45%,80 of 136,0,0,---,0,0,4:33,16 of 55,1 of 8,29 of 39,42 of 92,1 of 2,3 of 8,Peter Sobotta ,0,18,39,46%,19 of 40,2,7,28%,0,0,2:08,5 of 22,4 of 5,9 of 12,17 of 38,1 of 1,0 of 0
UFC 99: The Comeback,Dale Hartt ,Dennis Siver ,Lightweight Bout, Submission ,1,3:23,3 Rnd (5-5-5),Marc Goddard,Rear Naked Choke,Dennis Siver ,0,8,23,34%,16 of 31,0,0,---,2,0,1:11,4 of 18,0 of 0,4 of 5,6 of 20,0 of 0,2 of 3,Dale Hartt ,0,5,16,31%,5 of 16,1,1,100%,0,0,0:29,1 of 12,0 of 0,4 of 4,5 of 16,0 of 0,0 of 0
UFC 99: The Comeback,Justin Buchholz ,Terry Etim ,Lightweight Bout, Submission ,2,2:38,3 Rnd (5-5-5),Leon Roberts,D'Arce Choke From Front Headlock,Terry Etim ,0,27,50,54%,31 of 54,0,0,---,3,1,1:44,13 of 33,4 of 7,10 of 10,16 of 34,11 of 15,0 of 1,Justin Buchholz ,1,23,66,34%,43 of 86,0,1,0%,0,0,1:56,18 of 56,3 of 3,2 of 7,9 of 38,7 of 8,7 of 20
UFC 99: The Comeback,Marcus Davis ,Dan Hardy ,Welterweight Bout, Decision - Split ,3,5:00,3 Rnd (5-5-5),Marc Goddard,Doug Crosby 28 - 29. Andy Roberts 29 - 28. Tony Weeks 28 - 29.,Dan Hardy ,1,28,61,45%,73 of 109,1,1,100%,0,0,4:26,14 of 43,7 of 10,7 of 8,12 of 33,10 of 15,6 of 13,Marcus Davis ,0,19,41,46%,104 of 133,2,6,33%,3,0,6:04,11 of 29,4 of 8,4 of 4,12 of 30,3 of 5,4 of 6
UFC 99: The Comeback,Caol Uno ,Spencer Fisher ,Lightweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,Howard Hughes 28 - 29. Chris Watts 28 - 29. Tony Weeks 28 - 29.,Spencer Fisher ,0,62,85,72%,77 of 100,1,2,50%,0,0,3:06,12 of 31,41 of 43,9 of 11,10 of 22,40 of 51,12 of 12,Caol Uno ,0,24,47,51%,51 of 77,3,15,20%,0,1,7:13,12 of 33,3 of 4,9 of 10,7 of 22,9 of 12,8 of 13
UFC 99: The Comeback,Ben Saunders ,Mike Swick ,Welterweight Bout, KO/TKO ,2,3:47,3 Rnd (5-5-5),Leon Roberts,Punches to Head At Distance,Mike Swick ,1,10,35,28%,75 of 108,1,1,100%,1,0,5:27,8 of 32,2 of 3,0 of 0,4 of 18,4 of 11,2 of 6,Ben Saunders ,0,17,31,54%,29 of 43,0,1,0%,0,0,0:38,1 of 10,11 of 15,5 of 6,5 of 14,12 of 17,0 of 0
UFC 99: The Comeback,Mostapha Al-Turk ,Mirko Filipovic ,Heavyweight Bout, KO/TKO ,1,3:06,3 Rnd (5-5-5),Dan Miragliotta,Punches to Head At Distance,Mirko Filipovic ,1,16,35,45%,18 of 37,1,1,100%,0,0,0:15,15 of 34,1 of 1,0 of 0,11 of 23,3 of 6,2 of 6,Mostapha Al-Turk ,0,7,25,28%,7 of 25,0,2,0%,0,0,0:05,2 of 19,0 of 0,5 of 6,7 of 25,0 of 0,0 of 0
UFC 99: The Comeback,Cheick Kongo ,Cain Velasquez ,Heavyweight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Doug Crosby 27 - 30. Keith Hughes 27 - 30. Chris Watts 27 - 30.,Cain Velasquez ,0,29,53,54%,261 of 320,7,10,70%,2,0,13:00,23 of 46,6 of 7,0 of 0,2 of 12,1 of 2,26 of 39,Cheick Kongo ,0,21,34,61%,42 of 56,1,3,33%,0,0,0:51,11 of 24,8 of 8,2 of 2,8 of 17,9 of 11,4 of 6
UFC 99: The Comeback,Wanderlei Silva ,Rich Franklin ,Catch Weight Bout, Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,Chris Lee 27 - 30. Andy Roberts 28 - 29. Tony Weeks 27 - 30.,Rich Franklin ,0,52,150,34%,67 of 167,1,2,50%,0,0,1:18,32 of 125,13 of 17,7 of 8,45 of 136,4 of 7,3 of 7,Wanderlei Silva ,0,38,137,27%,55 of 157,1,1,100%,0,0,1:32,26 of 118,4 of 6,8 of 13,28 of 119,8 of 13,2 of 5
UFC 98: Evans vs Machida,Brandon Wolff ,Yoshiyuki Yoshida ,Welterweight Bout, Submission ,1,2:24,3 Rnd (5-5-5),Steve Mazzagatti,Guillotine Choke From Bottom Guard,Yoshiyuki Yoshida ,0,4,6,66%,4 of 6,0,0,---,1,1,1:07,0 of 1,4 of 4,0 of 1,0 of 2,4 of 4,0 of 0,Brandon Wolff ,0,2,5,40%,4 of 7,0,1,0%,0,0,0:32,0 of 3,2 of 2,0 of 0,1 of 4,1 of 1,0 of 0
UFC 98: Evans vs Machida,Andre Gusmao ,Krzysztof Soszynski ,Light Heavyweight Bout, KO/TKO ,1,3:17,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance,Krzysztof Soszynski ,1,18,50,36%,18 of 50,0,0,---,0,0,0:16,15 of 46,0 of 1,3 of 3,14 of 46,2 of 2,2 of 2,Andre Gusmao ,0,17,33,51%,18 of 34,0,0,---,0,0,0:03,3 of 13,8 of 14,6 of 6,13 of 28,4 of 5,0 of 0
UFC 98: Evans vs Machida,Phillipe Nover ,Kyle Bradley ,Lightweight Bout, KO/TKO ,1,1:03,3 Rnd (5-5-5),Yves Lavigne,Punches to Head On Ground,Kyle Bradley ,0,7,11,63%,7 of 11,1,1,100%,0,0,0:09,4 of 7,3 of 4,0 of 0,3 of 6,1 of 1,3 of 4,Phillipe Nover ,0,3,11,27%,3 of 11,0,0,---,0,0,0:00,1 of 7,1 of 1,1 of 3,2 of 10,1 of 1,0 of 0
UFC 98: Evans vs Machida,Pat Barry ,Tim Hague ,Heavyweight Bout, Submission ,1,1:42,3 Rnd (5-5-5),Steve Mazzagatti,Guillotine Choke From Front Headlock,Tim Hague ,0,0,5,0%,2 of 8,1,1,100%,1,0,0:44,0 of 5,0 of 0,0 of 0,0 of 5,0 of 0,0 of 0,Pat Barry ,0,3,11,27%,3 of 11,0,0,---,0,0,0:00,3 of 11,0 of 0,0 of 0,3 of 11,0 of 0,0 of 0
